scheme,vehicles,runs,deadline_success_mean,deadline_success_ci95,p95_latency_s_mean,p95_latency_s_ci95,mean_dt_age_s_mean,mean_dt_age_s_ci95,p95_position_error_m_mean,p95_position_error_m_ci95,deadline_success_safety_mean,deadline_success_safety_ci95,deadline_success_cooperative_mean,deadline_success_cooperative_ci95,deadline_success_routine_mean,deadline_success_routine_ci95
AAI-CDOS,10,30,0.9917037037037038,0.0011449364382004,0.1927561545230826,0.0067626328977642,0.1931160462363907,0.0147747373977521,1.5287695143404485,0.0685654884294637,0.9608208183725282,0.0051180056274469,0.9992201474288254,0.0004196941125885,1.0,0.0
Single Domain,10,30,0.5240740740740741,0.0214003635461477,2.0368704362202696,0.0923326909824051,17.994585438465815,2.26743322252241,312.8197292422923,42.40322258877288,0.3196761070443609,0.0143197557622164,0.4552682740318447,0.0286815237299333,0.7746743289727295,0.0177253972337566
Independent Agents,10,30,0.8391666666666668,0.0036764193607396,0.3225416855836494,0.0061607612205266,2.329336654625149,0.0611642366984284,57.26474031313679,5.566751914035638,0.279512880174139,0.0089731932031995,0.9689909859202582,0.0046015801564372,1.0,0.0
One-Shot LLM,10,30,0.8642222222222222,0.0082549444209647,3.1671841023920715,0.596836523369534,1.8585227838742548,0.1295122001541482,42.45039187106847,6.658185555681408,0.6572760120700317,0.0233612915645505,0.9028313503632792,0.0060473008406626,0.939432712085158,0.006063307329634
AAI-CDOS,25,30,0.9727777777777776,0.0037324901985353,0.3063923708388781,0.0116571498343614,0.4677581078719775,0.0469929843666256,2.7836028620329265,0.1868081252974266,0.9135995529395282,0.0098594624646654,0.9810965204102556,0.0034576845304016,0.9987410315639697,0.0004293341638179
Single Domain,25,30,0.3720814814814814,0.0168391268050484,3.661481067087735,0.1169361850742441,40.96314283966617,3.6635552665858073,723.3588142740961,75.13439726860001,0.0941508308694029,0.0029568456168899,0.3600855565848249,0.0203251852426103,0.5782998455724613,0.0236694683267335
Independent Agents,25,30,0.7372074074074073,0.0090280733488085,0.4260349110419243,0.0105152202070612,4.278369974121364,0.2110483820639167,106.27843988028636,4.780435832424671,0.0897205893897486,0.0048607692687507,0.8404240961161441,0.0162553805523584,0.9997518977546244,0.0002181358219474
One-Shot LLM,25,30,0.6376296296296295,0.0139469322852157,11.710376937752374,0.4208192207569325,6.994573276103264,0.4017534917624409,153.74472349995588,8.98212600973037,0.2954685253469937,0.0201645830206745,0.683023466359094,0.0147054056246243,0.7916580532785997,0.0124102182479854
AAI-CDOS,50,30,0.8921592592592593,0.0110850331452983,0.4708887445008046,0.0175498397220142,1.692343283527581,0.1809506543994902,27.239683356427317,8.228019804910188,0.708947769668376,0.0221955045119374,0.9025129551947816,0.0131821340282843,0.9976651732348004,0.0004137912839763
Single Domain,50,30,0.2531148148148148,0.010172480383916,7.089885329517879,0.2395556424872769,83.86278793297352,4.9536816019420025,1484.0400834232978,92.5276435306997,0.0220411529056234,0.0010140218545997,0.2412115633718896,0.0088221373906912,0.42756279016529,0.0203744284920237
Independent Agents,50,30,0.5721222222222223,0.0133454657094083,0.5747060039085006,0.0144461543066761,9.660495916334984,0.5540264418005078,203.29016828039565,13.858561450464425,0.0383612994239139,0.0024773764017404,0.5309608640989268,0.0256873842398714,0.997673231765494,0.0003599755697408
One-Shot LLM,50,30,0.3417222222222221,0.0179273067377163,25.20200240638029,0.3092497465034277,26.906998931053128,2.528288693982791,533.4262951730974,49.74844537846374,0.0879379362751023,0.0081333973705512,0.3547870112563104,0.0215608600872853,0.4896889788102703,0.0193636174170103
