scheme,vehicles,runs,deadline_satisfaction_pct,deadline_satisfaction_ci95_pp,p95_sync_latency_ms,p95_sync_latency_ci95_ms,mean_dt_staleness_s,mean_dt_staleness_ci95_s,p95_position_error_m,p95_position_error_ci95_m
AAI-CDOS,10,30,99.170370,0.114494,192.756155,6.762633,0.193116,0.014775,1.528770,0.068565
Single Domain,10,30,52.407407,2.140036,2036.870436,92.332691,17.994585,2.267433,312.819729,42.403223
Independent Agents,10,30,83.916667,0.367642,322.541686,6.160761,2.329337,0.061164,57.264740,5.566752
One-Shot LLM,10,30,86.422222,0.825494,3167.184102,596.836523,1.858523,0.129512,42.450392,6.658186
AAI-CDOS,25,30,97.277778,0.373249,306.392371,11.657150,0.467758,0.046993,2.783603,0.186808
Single Domain,25,30,37.208148,1.683913,3661.481067,116.936185,40.963143,3.663555,723.358814,75.134397
Independent Agents,25,30,73.720741,0.902807,426.034911,10.515220,4.278370,0.211048,106.278440,4.780436
One-Shot LLM,25,30,63.762963,1.394693,11710.376938,420.819221,6.994573,0.401753,153.744723,8.982126
AAI-CDOS,50,30,89.215926,1.108503,470.888745,17.549840,1.692343,0.180951,27.239683,8.228020
Single Domain,50,30,25.311481,1.017248,7089.885330,239.555642,83.862788,4.953682,1484.040083,92.527644
Independent Agents,50,30,57.212222,1.334547,574.706004,14.446154,9.660496,0.554026,203.290168,13.858561
One-Shot LLM,50,30,34.172222,1.792731,25202.002406,309.249747,26.906999,2.528289,533.426295,49.748445
